image_path,description
/content/new/886548002.jpg,"Black performance t-shirt featuring a multicolored ""Run Mode"" triangle graphic.  Made from breathable fabric, ideal for workouts or casual wear. Style with joggers or shorts for a sporty look.
"
/content/new/881698002.jpg,"Black ribbed cotton vest top, slim fit, perfect for layering or casual wear.  Style with jeans and sneakers for a relaxed look or dress it up with a blazer.
"
/content/new/880749002.jpg,"Cream tiered mini dress featuring short sleeves, keyhole neckline with tassel tie, and delicate bobble trim.  Lightweight woven fabric; perfect for summer events. Style with sandals or wedges for a casual chic look.
"
/content/new/852365005.jpg,"Pastel pink tiered tulle dress with subtle dot pattern, featuring long balloon sleeves and a high neck. Perfect for parties or special occasions, style with sandals or boots.
"
/content/new/887237001.jpg,"Dusty rose ribbed knit wide-leg pants featuring a comfortable high waist and scalloped hem.  Perfect for casual outings or lounging; style with a tucked-in tee or oversized sweater.
"
/content/new/886600001.jpg,"A stylish short-sleeved shirt in a vibrant abstract print featuring blues, greens, and corals on a cream background.  Made from a lightweight linen-blend fabric, it boasts a relaxed fit and patch pockets. Perfect for casual daytime events, style it with jeans or a skirt.
"
/content/new/889384001.jpg,"Black lace top with ruffled neckline and short sleeves.  Sheer fabric with floral pattern. Perfect for evenings out or romantic dates. Style with jeans or a skirt for versatile looks.
"
/content/new/212629036.jpg,"A versatile olive green midi dress crafted from soft jersey. Featuring a simple silhouette, spaghetti straps, and a flattering empire waist, perfect for casual outings or dressed up with heels.  Style with sandals for a relaxed look or wedges for a touch of elegance.
"
/content/new/860135002.jpg,"Men's dark gray plaid long-sleeve shirt; soft cotton blend; classic button-down design; perfect for casual or smart casual occasions; style with jeans or chinos for a versatile look.
"
/content/new/868874002.jpg,"Stylish blue and white plaid flannel shirt, featuring a classic button-down design and relaxed fit. Perfect for casual outings or layering, style it with jeans or a skirt.
"
/content/new/888081001.jpg,"Black cropped trousers in a solid, woven fabric; featuring a unique faux belt detail. Perfect for work or evenings out, style with heels and a blouse or a sweater.
"
/content/new/888331008.jpg,"Adorable light blue pajama set featuring a polka dot pattern. Made from soft cotton, this comfy set includes a relaxed-fit tee and shorts with a drawstring waist. Perfect for lounging or sleep; style with slippers for ultimate relaxation.
"
/content/new/879139001.jpg,"Black jersey wrap dress with long sleeves and a self-tie belt.  Perfect for casual or dressy occasions; style with boots or heels.
"
/content/new/257667061.jpg,"Dark grey V-neck short sleeve t-shirt in a soft jersey fabric.  Simple, versatile design perfect for everyday wear. Style with jeans or a skirt for casual chic.
"
/content/new/237347039.jpg,"Beige zip-up hoodie in a soft cotton blend. Features a relaxed fit, kangaroo pocket, and drawstring hood. Perfect for casual outings or layering; style with jeans or leggings for a comfy look.
"
/content/new/237347011.jpg,"Grey heather zip-up hoodie in soft cotton blend. Features a kangaroo pocket and relaxed fit, perfect for casual wear or layering. Style with jeans and sneakers for a comfortable everyday look.
"
/content/new/883202001.jpg,"Sage green linen-blend shorts featuring a drawstring waist, side zip pockets, and a curved hem. Perfect for casual summer days; pair with a tee and sneakers or dress them up with a blouse and sandals.
"
/content/new/884754003.jpg,"Peach-colored jersey shorts with drawstring waist and side pockets; perfect for casual days or workouts. Style with a t-shirt and sneakers for a relaxed look or a tank top and sandals for warm weather.
"
/content/new/885543003.jpg,"Black belted shirt;  soft woven fabric; long sleeves, collared neckline; cinched waist;  perfect for work or a night out. Style with jeans or a skirt.
"
/content/new/880815006.jpg,"Olive green corduroy joggers with elasticated waistband and cuffs, featuring functional patch pockets.  Perfect for casual outings, pair with sneakers or boots for a relaxed yet stylish look.
"
/content/new/885072001.jpg,"Beige linen-blend shorts featuring pleated fronts and side pockets; perfect for summer casual or smart casual looks.  Style with a blouse and sandals for a chic daytime ensemble.
"
/content/new/881608001.jpg,"Off-white denim midi dress with a button-front detail and a side slit.  Features a square neckline and thin straps. Perfect for casual daytime events or dressed up for evenings. Style with sandals or heels.
"
/content/new/220094010.jpg,"Olive green maxi dress; soft jersey fabric; strapless with elasticated waist; perfect for casual summer events or beach days; style with sandals or wedges for a relaxed look.
"
/content/new/887741002.jpg,"Adorable baby boy's mint green polo shirt, featuring a charming palm tree print.  Soft cotton fabric, perfect for casual summer occasions. Style with shorts or chinos for a playful look.
"
/content/new/888416001.jpg,"Black floral-print jumpsuit featuring puff sleeves, a square neckline, and button detailing.  Made from a lightweight woven fabric, it's perfect for summer events or casual outings. Style with sandals or sneakers for a versatile look.
"
/content/new/881244003.jpg,"Light wash denim jeans with distressed detailing and a raw hem; comfortable stretch fabric; perfect for casual everyday wear; style with a tucked-in blouse or a flowy top and sneakers or ankle boots.
"
